,year,Q,DBO gross,earnings,zDBO,zEarnings,b,a,y_hat,residuals,squares,residual squares
0,2014.0,1.0,2399896607.0,-4508000.0,0.13866093387209738,0.5217510456924179,0.24878099226102765,-704467565.5695393,-107418906.35620594,102910906.35620594,1.8382068106521628e+16,1.0590654647055788e+16
1,2014.0,2.0,2836836996.0,31393000.0,0.6000315852251978,0.6599079802447613,0.24878099226102765,-704467565.5695393,1283557.1781334877,30109442.82186651,2.9405899942778772e+16,906578547043248.9
2,2014.0,3.0,2504769341.0,7376000.0,0.2493973244939321,0.5674839503530137,0.24878099226102765,-704467565.5695393,-81328563.53055906,88704563.53055906,2.1745774546978772e+16,7868499591146989.0
3,2014.0,4.0,2627358905.0,29819000.0,0.3788411305957585,0.6538507947907239,0.24878099226102765,-704467565.5695393,-50830610.15779233,80649610.15779233,2.88685537017502e+16,6504359618603880.0
4,2015.0,1.0,2474840407.0,6138000.0,0.2177950004206501,0.5627197854279196,0.24878099226102765,-704467565.5695393,-88774313.42839396,94912313.42839396,2.13821851243502e+16,9008347240329692.0
5,2015.0,2.0,3111375596.0,43923000.0,0.8899202196758993,0.7081268708032655,0.24878099226102765,-704467565.5695393,69583542.5000869,-25660542.500086904,3.3860226874778772e+16,658463441398766.2
6,2015.0,3.0,2651981596.0,12178000.0,0.4048405283871495,0.5859633687458259,0.24878099226102765,-704467565.5695393,-44704952.65867567,56882952.65867567,2.3185082671778772e+16,3235670303169137.5
7,2015.0,4.0,2910583148.0,41617000.0,0.6779010407380979,0.6992527477683166,0.24878099226102765,-704467565.5695393,19630198.0481261,21986801.9518739,3.3016883538664484e+16,483419460070925.9
8,2016.0,1.0,2784471480.0,28291000.0,0.5447382023437146,0.6479706300043399,0.24878099226102765,-704467565.5695393,-11743987.85260725,40034987.85260725,2.8351651209407344e+16,1602800252358410.0
9,2016.0,2.0,2803870622.0,23967000.0,0.5652219914498557,0.6313306872449646,0.24878099226102765,-704467565.5695393,-6917850.056834698,30884850.056834694,2.69142023929502e+16,953873963033162.2
10,2016.0,3.0,2978884035.0,30436000.0,0.7500207749547132,0.6562251807025036,0.24878099226102765,-704467565.5695393,36622160.48829436,-6186160.488294362,2.9078600228121628e+16,38268581586934.35
11,2016.0,4.0,2807999318.0,28973000.0,0.5695815315855673,0.6505951538160637,0.24878099226102765,-704467565.5695393,-5890708.969210505,34863708.969210505,2.8581785951921628e+16,1215478203089809.0
12,2017.0,1.0,2912280871.0,8400000.0,0.8202742394401898,0.8157955335309915,0.24878099226102765,-704467565.5695393,20052559.2606504,-11652559.2606504,2.2048830389721628e+16,135782137322969.39
13,2017.0,2.0,2705602209.0,-176500000.0,0.6298349548255363,0.17044616590003714,0.24878099226102765,-704467565.5695393,-31365163.350891113,-145134836.64910892,1325798372578776.5,2.106412080916352e+16
14,2017.0,3.0,2562244996.0,-42700000.0,0.4977417584409453,0.6374431663814957,0.24878099226102765,-704467565.5695393,-67029713.04880655,24329713.04880655,9484517149721630.0,591934937037267.6
15,2017.0,4.0,2895259444.0,-276400000.0,0.8045902382490047,-0.17823096674643304,0.24878099226102765,-704467565.5695393,15817951.761891842,-292217951.76189184,1.8580828926864492e+16,8.539133133191534e+16
16,2018.0,1.0,2858379432.0,17700000.0,0.7706080020863774,0.8482549662998821,0.24878099226102765,-704467565.5695393,6642905.7819331875,11057094.218066813,2.4897206224007344e+16,122259332547206.52
17,2018.0,2.0,3347412357.0,22200000.0,1.2212161078714414,0.8639611434461195,0.24878099226102765,-704467565.5695393,128305002.11174595,-106105002.11174595,2.6337552595435916e+16,1.1258271473133614e+16
18,2018.0,3.0,2734900097.0,-100400000.0,0.6568308177629509,0.43605507275085176,0.24878099226102765,-704467565.5695393,-24076405.70309865,-76323594.29690135,1575175898293060.2,5825291046397992.0
19,2018.0,4.0,2951468125.0,170600000.0,0.8563824305110839,1.381915963113148,0.24878099226102765,-704467565.5695393,29801603.19475532,140798396.80524468,9.652733515543594e+16,1.9824188542927136e+16
20,2019.0,1.0,2400027437.0,-130200000.0,0.3482701313801152,0.3320452774268797,0.24878099226102765,-704467565.5695393,-107386358.33898842,-22813641.661011577,97782149721632.4,520462245837043.06
21,2019.0,2.0,3261698580.0,49400000.0,1.142237125641046,0.9588962586411544,0.24878099226102765,-704467565.5695393,106981043.61924541,-57581043.6192454,3.5905886218293056e+16,3315576584281442.5
22,2019.0,3.0,2812620625.0,-54800000.0,0.7284446051223502,0.5952110011660574,0.24878099226102765,-704467565.5695393,-4741015.628207684,-50058984.37179232,7274125795435916.0,2505901916335347.5
23,2019.0,4.0,2889014247.0,-13500000.0,0.7988357455623936,0.7393588047526362,0.24878099226102765,-704467565.5695393,14264265.455366256,-27764265.45536625,1.6024644715435916e+16,770854436276043.9
25,2020.0,2.0,4725480.0,-561200000.0,-1.8588255925469133,-1.1722574670238577,0.24878099226102765,-704467565.5695393,-703291955.9662298,142091955.9662298,1.7733490746400733e+17,2.0190123950308988e+16
26,2020.0,3.0,126154944.0,-905800000.0,-1.7469372145618611,-2.3750016102668368,0.24878099226102765,-704467565.5695393,-673082613.422585,-232717386.577415,5.863141231097216e+17,5.415738201542201e+16
27,2020.0,4.0,193792471.0,-946100000.0,-1.684614175839149,-2.515659152265364,0.24878099226102765,-704467565.5695393,-656255682.3414433,-289844317.6585568,6.496545611611502e+17,8.400972847895432e+16
28,2021.0,1.0,236495603.0,-567200000.0,-1.6452663601034099,-1.1931990365521743,0.24878099226102765,-704467565.5695393,-645631954.7898294,78431954.78982937,1.824242456354359e+17,6151571532153839.0
29,2021.0,2.0,811084276.0,-344000000.0,-1.1158248842639589,-0.4141726500987993,0.24878099226102765,-704467565.5695393,-502685214.5789422,158685214.57894218,4.1579905658293064e+16,2.5180997325964924e+16
30,2021.0,3.0,1367417382.0,-224200000.0,-0.6032045794446436,0.003960688149920747,0.24878099226102765,-704467565.5695393,-364280112.44060266,140080112.44060266,7074746835435921.0,1.9622437901371884e+16
31,2021.0,4.0,2067811192.0,-134400000.0,0.042157137310284816,0.3173861787570581,0.24878099226102765,-704467565.5695393,-190035445.41532105,55635445.41532105,32358869721632.508,3095302786561168.5
32,2022.0,1.0,1344645095.0,-337400000.0,-0.6241875778991215,-0.3911369236176511,0.24878099226102765,-704467565.5695393,-369945424.59651566,32545424.596515656,3.893183366972164e+16,1059204662167486.2
33,2022.0,2.0,2325778439.0,-121600000.0,0.27985510524415713,0.36206152708413336,0.24878099226102765,-704467565.5695393,-125858097.7358154,4258097.735815406,341824104007346.44,18131396327756.285
34,2022.0,3.0,1923613844.0,-226900000.0,-0.09071018208648116,-0.00546301813782169,0.24878099226102765,-704467565.5695393,-225909004.73216984,-990995.2678301631,7536239012578778.0,982071620861.777
35,2022.0,4.0,1774933958.0,-287700000.0,-0.2277078327023355,-0.2176709226914292,0.24878099226102765,-704467565.5695393,-262897734.30050623,-24802265.69949377,2.1789159149721636e+16,615152383828285.0
